Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
1259611523665838080,Dejen de pedir por esa mierda de servicio y de irresponsabilidad social!,<[2020-05-10T22:29:29.570Z]>,Tweet,,,,,,,Sun May 10 17:29:24 COT 2020,es,FALSE,https://twitter.com/juanabelg/status/1259606345428406273,,,,,,,,,,
1259611540686352385,RT @camilooob: #Rappi en este momento https://t.co/1kuYMiueQS,<[2020-05-10T22:29:33.576Z]>,Tweet,,,,,,,Sun May 10 17:29:28 COT 2020,es,FALSE,,,,,,,,,,,
@jenniferpc98,@jenniferpc98,<[2020-05-10T22:29:33.576Z]>,User,,,,,,,Wed Oct 19 17:35:51 COT 2011,,,,"Diseño Industrial 
UJTL",,http://pbs.twimg.com/profile_images/1091195590875201537/srpZCa-X_bigger.jpg,430,184,Jennifer▪,,,,
1259611531920257024,#rappi aprendió a hacer saltos en el tiempo. Me van a entregar mi pedido hace 2 horas. Maravilloso. https://t.co/1dQkPQB4Kt,<[2020-05-10T22:29:35.992Z]>,Tweet,,,Colombia,city,"Palmira, Colombia",Palmira,Sun May 10 17:29:26 COT 2020,es,FALSE,,,,,,,,,,,
http://pbs.twimg.com/media/EXsKAdnXgAEzGqI.jpg,http://pbs.twimg.com/media/EXsKAdnXgAEzGqI.jpg,<[2020-05-10T22:29:35.992Z]>,Media,,,,,,,,,,,,,,,,,,,,
1259611563432071169,"@SandraL_QG Creo que mas allá de la crítica a la persona debería ser al sistema de rappi, leí sus tuits y tiene razón en cuanto a que si la plataforma no puede cumplir con el servicio no debería hacer pedidos. Por otro lado el gobierno debería presionar a rappi a dar prestaciones de ley.",<[2020-05-10T22:29:39.143Z]>,Tweet,,,,,,,Sun May 10 17:29:33 COT 2020,es,FALSE,,,,,,,,,,,
@pachemesta,@pachemesta,"<[2020-05-10T22:29:39.143Z, 2020-05-10T22:29:59.059Z]>",User,,,,,,,Wed Jan 06 15:28:22 COT 2010,,,,Hedonista sin remedio. Comunicadora audiovisual. Pseudo artista.,,http://pbs.twimg.com/profile_images/1252340539774525445/5NYNHH53_bigger.jpg,420,621,Medusa,,,,
1259611578976141312,Se demoraron mucho en hacer esto #Rappi https://t.co/PzJ0jWOs0R,<[2020-05-10T22:29:42.816Z]>,Tweet,,,,,,,Sun May 10 17:29:37 COT 2020,es,FALSE,,,,,,,,,,,
@colacho_rojas,@colacho_rojas,<[2020-05-10T22:29:42.816Z]>,User,,,,,,,Tue Dec 13 20:46:28 COT 2016,,,,Lo que se escribe acá es mi opinión personal e intransferible 😏😏😏😏Administrador de Empresas @udea y Especialista de Mercadeo @eafit,,http://pbs.twimg.com/profile_images/1254904822064652290/BhJ3-FwD_bigger.jpg,4992,2548,NICOLÁS SEBASTIÁN,"Medellín, Colombia",,,
http://pbs.twimg.com/media/EXsKCmZXgAUwAgF.jpg,http://pbs.twimg.com/media/EXsKCmZXgAUwAgF.jpg,<[2020-05-10T22:29:42.816Z]>,Media,,,,,,,,,,,,,,,,,,,,
